Video ID,Title (short & english),Animate,Pilot,Question English [false/CORRECT],Question German [false/CORRECT]
64,monkey2,1,1,What does the monkey sit on? [ground/TREE],Worauf sitzt der Affe? [boden/BAUM]
65,openDoorOutside,1,1,What color do the person's shorts have? [BEIGE/blue],Welche Farbe haben die Shorts der Person? [BEIGE/blau]
66,pedestrian,1,1,How many people are visible? [two/THREE],Wie viele Menschen sind zu sehen? [vier/DREI]
67,plank,1,1,Is the person male or female? [MALE/female],Ist die Person männlich oder weiblich? [MÄNNLICH/weiblich]
68,reindeers,1,1,How many animals can you see? [TWO/one],Wie viele Tiere kann man sehen? [ZWEI/eins]
69,robot2,1,1,How many people are visible? [TWO/three],Wie viele Leute sind zu sehen? [ZWEI/drei]
70,selfie,1,1,What building is in the background? [PALACE/skyscraper],Was für ein Gebäude ist im Hintergrund? [PALAST/wolkenkratzer]
71,shoebill,1,1,What color do the bird's feathers have? [BLACK/red],Welche Farbe haben die Federn des Vogels? [SCHWARZ/rot]
72,shoot,1,1,Are there animals in the scene? [yes/NO],Sind Tiere zu sehen? [ja/NEIN]
73,statues,1,1,What color is the sky? [gray/BLUE],Welche Farbe hat der Himmel? [grau/BLAU]
74,throw,1,1,Are there people in the background? [YES/no],Sind Leute im Hintergrund zu sehen? [nein/JA]
75,trash,1,1,What is the shed made of? [WOOD/stone],Woraus ist der Unterstand gemacht? [HOLZ/stein]
76,watering,1,1,Is there a dog in the scene? [NO/yes],Ist ein Hund in der Szene? [NEIN/ja]
77,work,1,1,What is the man wearing? [jacket/SHIRT],Was trägt der Mann? [jacke/SHIRT]
78,work2,1,1,Are there any plants in the room? [yes/NO],Sind in dem Raum Pflanzen? [ja/NEIN]
79,yoga,1,1,What kind of floor is in the room? [WOOD/tiles],Was für ein Boden ist in dem Zimmer? [HOLZ/fliessen]
80,youtube,1,0,What content is the person watching? [DOCUMENTARY/music video],Welche Inhalte sieht sich die Person an? [DOKUMENTATION/musikvideo]
